date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-07 19:32:25,ADI_News,,0,2,1,"Smoke detectors save lives when they are used properly. Leveraging our deep sensor expertise, we can provide integrated solutions to help manufacturers engineer better, safer smoke detectors. Learn more in our latest Environmental Monitoring Newsletter. http://ow.ly/5QmZ30qE5ck",,,,1258479821027508224,https://twitter.com/ADI_News/status/1258479821027508224
2020-05-05 18:30:50,ADI_News,,0,0,2,"The 2020 @FRCTeams live event has been canceled due to #COVID19, but that hasn't stopped ADI-sponsored @team2655, @frc5902, and @MeanMachine2471 from doing what they do best: rising to a challenge. Read the story on #EngineerZone. http://ow.ly/weMM30qDsAt",,@FRCTeams @team2655 @frc5902 @MeanMachine2471,#COVID19 #EngineerZone,1257739545954734080,https://twitter.com/ADI_News/status/1257739545954734080
2020-04-23 17:31:39,ADI_News,,0,0,6,Read Chief People Officer @MarnieSeif_ADI's blog on our contribution to the global fight against #COVID19. http://ow.ly/QcbJ30qAbRj,,@MarnieSeif_ADI,#COVID19,1253375998130900993,https://twitter.com/ADI_News/status/1253375998130900993
2020-04-22 20:38:35,ADI_News,,0,1,9,CEO Vincent Roche spoke to the Boston Globe about ADI's recent contributions to the global fight against COVID-19. https://www.bostonglobe.com/business/2020/04/21/nike-donates-face-shields-and-respirator-lenses-three-boston-hospitals/FFeGU4YKrd0fktdTfZ36JP/story.html?event=event25 via @BostonGlobe,,@BostonGlobe,,1253060655374053378,https://twitter.com/ADI_News/status/1253060655374053378
2020-04-20 16:43:33,ADI_News,,2,7,14,"The Analog Devices Foundation has donated $500,000 to the #MGH Vaccine &amp; Immunotherapy Center (VIC) to advance #COVID19 vaccine development and testing. http://ow.ly/2l9P30qzjeO",,,#MGH #COVID19,1252276729952993281,https://twitter.com/ADI_News/status/1252276729952993281
2020-04-18 13:49:28,ADI_News,,1,5,14,Today’s the big day! Join us and @GlblCtzn starting at 2 p.m. ET for One World: #TogetherAtHome! This will be a historic moment of unity to support #COVID19 healthcare workers. Check out how you can tune in: https://glblctzn.me/2xFbpj8 #coronavirus #HealthyAtHome #HealthForAll,,@GlblCtzn,#TogetherAtHome #COVID19 #coronavirus #HealthyAtHome #HealthyAtHome #HealthForAll,1251508144854962177,https://twitter.com/ADI_News/status/1251508144854962177
2020-04-14 20:22:06,ADI_News,,0,4,6,The list of artists participating in One World: #TogetherAtHome this Saturday is growing. The Analog Devices Foundation is proud to be among @GlblCtzn's partners making financial commitments to support the @WHO #COVID19 response effort. https://glblctzn.me/34aQLUB,,@GlblCtzn @WHO,#TogetherAtHome #COVID19,1250157402500018181,https://twitter.com/ADI_News/status/1250157402500018181
2020-04-08 20:45:29,ADI_News,,0,3,6,"The Analog Devices Foundation is a proud partner of @glblctzn and One World: #TogetherAtHome, airing April 18. Learn more about this historic virtual event celebrating health workers and supporting @WHO in the fight to end #COVID19. http://ow.ly/5lzk30qwq27 #coronavirus",,@GlblCtzn @WHO,#TogetherAtHome #COVID19 #coronavirus,1247988962477641734,https://twitter.com/ADI_News/status/1247988962477641734
2020-04-06 19:50:29,ADI_News,,2,13,34,Analog Devices is proudly partnering with @glblctzn through the Analog Devices Foundation for One World: #TogetherAtHome — a night of music and action to celebrate the efforts of community health workers and support the @WHO in the fight to end #COVID19. http://ow.ly/9VTR30qvPxf,,@GlblCtzn @WHO,#TogetherAtHome #COVID19,1247250343794225153,https://twitter.com/ADI_News/status/1247250343794225153
2020-04-01 15:11:50,ADI_News,,0,4,13,Analog Devices Takes Action to Support Customers During #COVID19 Pandemic. http://ow.ly/nEre30qutNX #COVIDー19,,,#COVID19 #COVID,1245368280417697792,https://twitter.com/ADI_News/status/1245368280417697792
2020-02-24 16:25:44,ADI_News,,0,1,3,"Early fire detection is a critical element of building safety. This Thursday at 11 a.m. ET, join us and @ArrowGlobal for a #webcast on the latest smoke detection regulations, solutions and trends. Register today: http://ow.ly/UZAp30qkjyR",,@ArrowGlobal,#webcast,1231978526565421056,https://twitter.com/ADI_News/status/1231978526565421056
2020-01-07 19:27:25,ADI_News,,2,10,23,"Welcome to Vegas! The show floor at #CES2020 is open. Visit us at South Hall 3, Booth 30322 to find out how #5G, #digitalhealth, noise canceling and #autonomous safety all start with ADI. http://ow.ly/Hu4h30q7yR8",,,#CES2020 #5G #digitalhealth #autonomous,1214629631736909824,https://twitter.com/ADI_News/status/1214629631736909824
