date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-07 19:37:30,ATT,,2,5,12,"Sunday 5/24 live golf returns featuring a rematch between @TigerWoods &amp; @PhilMickelson + @TomBrady &amp; #PeytonManning on @TNTDrama, @TBSNetwork, @truTV &amp; @HLNTV. The golfers &amp; our @WarnerMedia family are donating $10 Million toward #COVID19 relief. More at http://go.att.com/match",,@TigerWoods @PhilMickelson @TomBrady @tntdrama @TBSNetwork @truTV @HLNTV @WarnerMedia,#PeytonManning #COVID19,1258481100072071178,https://twitter.com/ATT/status/1258481100072071178
2020-05-01 19:00:02,ATT,,5,10,46,"Our employees are rockstars in their communities. S/O to Andrea B. Samantha P., Grayden F. and team who made + delivered masks for their local communities. #ConnectedTogether #NationalVolunteerMonth",,,#ConnectedTogether #NationalVolunteerMonth,1256297346457047042,https://twitter.com/ATT/status/1256297346457047042
2020-04-30 23:00:27,ATT,,12,24,80,We join our @WarnerMedia family in applauding the #EssentialWorkers for their dedication &amp; sacrifice day in &amp; day out. We thank these brave men &amp; women for all that they do out there to keep us safe in here. #ConnectedTogether,,@WarnerMedia,#EssentialWorkers #ConnectedTogether,1255995458968784898,https://twitter.com/ATT/status/1255995458968784898
2020-04-30 00:03:15,ATT,,10,6,42,"For many #COVID19 patients, their cell phone is their lifeline to loved ones. We’ve collaborated with @iHeartMedia to donate phone chargers to hospitals in cities hit hardest by the virus, so staying #ConnectedTogether is a little bit easier. Learn more at http://go.att.com/chargers",,@iHeartMedia,#COVID19 #ConnectedTogether,1255648877686001670,https://twitter.com/ATT/status/1255648877686001670
2020-04-29 17:27:53,ATT,,4,8,32,".@SesameCommunity &amp; your favorite furry friends are here to support children &amp; families everywhere during the #COVID19 pandemic. Explore activities, tips &amp; resources they're providing at https://bit.ly/2KFW2KQ #CaringForEachOther #ConnectedTogether",,@SesameCommunity,#COVID19 #CaringForEachOther #ConnectedTogether,1255549379601223680,https://twitter.com/ATT/status/1255549379601223680
2020-04-27 15:15:14,ATT,,7,9,70,"He's got his hardhat, ladder, gloves and is ready to go! But first, Warren, a wire technician in Georgia, sends us his love with this message: #StaySafe. #ConnectedTogether",,,#StaySafe #ConnectedTogether,1254791220074872832,https://twitter.com/ATT/status/1254791220074872832
2020-04-24 23:45:01,ATT,,9,3,61,Our WFH coworkers always good for some #FridayFeels,,,#FridayFeels,1253832346727591938,https://twitter.com/ATT/status/1253832346727591938
2020-04-20 21:30:02,ATT,,3,10,56,"Life in quarantine is tough, especially for families affected by homelessness. Our #ATTBelievesDallas employees teamed up with @JaxonBeerGarden to provide 130 meals to quarantined families at @FamilyGateway last week. #ConnectedTogether http://go.att.com/BelieveDallas",,@JaxonBeerGarden @FamilyGateway,#ATTBelievesDallas #ConnectedTogether,1252348825596866562,https://twitter.com/ATT/status/1252348825596866562
2020-04-18 23:00:01,ATT,,5,15,25,"Just like your home, junk tends to pile up over time the more you use your computer. Boost its overall performance this weekend and safeguard your data by following this digital #SpringCleaning checklist.",,,#SpringCleaning,1251646695311642624,https://twitter.com/ATT/status/1251646695311642624
2020-04-18 21:00:01,ATT,,4,9,48,"To support first responders’ & other customers’ needs, our limited number of stores, like this one in Houston, are offering curbside service. Thank you @philmacfaline, @jessermontez &amp; the rest of the team for staying safe and being there for our customers.",,@philmacfaline @jessermontez,,1251616497711173637,https://twitter.com/ATT/status/1251616497711173637
2020-04-17 15:34:38,ATT,,23,49,138,"Where public safety goes, we go. This is what @FirstNet was designed for, to serve this brave community that stands on the front lines, no matter the emergency. #ConnectedTogether",,@FirstNet,#ConnectedTogether,1251172224767270912,https://twitter.com/ATT/status/1251172224767270912
2020-04-17 14:00:01,ATT,,4,5,29,"In the face of unpredictable events, we can help your business stay connected. For additional resources and information, check out our AT&T Business Continuity site. http://go.att.com/COVIDscams",,,,1251148413866926080,https://twitter.com/ATT/status/1251148413866926080
