date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-08 16:00:01,Facebook,,346,83,317,"For all new moms in quarantine, you're not alone. Visit our Parents Support Hub: http://fb.com/parentsupport",,,,1258788755218903042,https://twitter.com/Facebook/status/1258788755218903042
2020-04-28 16:00:00,Facebook,,183,42,164,"Sharae M. created the S.H.E. TRUCKING SISTERHOOD @FacebookApp Group for female truck drivers as a support system for challenging times, but she never envisioned times like these. Their bond is now helping drivers stay safe, connected and as she says, ""keep moving America"".",,@facebookapp,,1255164873975099394,https://twitter.com/Facebook/status/1255164873975099394
2020-04-24 18:08:02,Facebook,,143,78,235,Watch Live: Mark Zuckerberg shares new product updates to help everyone feel more connected even while we're apart and discusses our response to Covid-19.,,,,1253747541394382849,https://twitter.com/Facebook/status/1253747541394382849
2020-04-14 21:00:00,Facebook,,297,51,167,"Watch Live: Mark Zuckerberg and Dr. Priscilla Chan discuss how we can contain the spread of COVID-19 with former director of the CDC, @DrTomFrieden.",,@DrTomFrieden,,1250166941509201922,https://twitter.com/Facebook/status/1250166941509201922
2020-04-08 18:30:00,Facebook,,146,32,182,Sisterhood of Salaam Shalom is a community that helps build strong relationships between Muslim and Jewish women around the United States. Its goal: to create a safe space for women of all religions and help end negative stereotypes.,,,,1247954864845570048,https://twitter.com/Facebook/status/1247954864845570048
2020-04-07 20:07:15,Facebook,,108,44,129,"Watch Live: Dr. Don Ganem, a leading infectious disease specialist, joins Mark Zuckerberg and Dr. Priscilla Chan to discuss the different paths to developing treatments for COVID-19 and what we can expect in the coming months.",,,,1247616949627977733,https://twitter.com/Facebook/status/1247616949627977733
2020-03-31 19:11:33,Facebook,,1026,535,1294,"We’re never lost if we can find each other. If you need help, or can offer it, visit our support hub: http://www.facebook.com/covidsupport",,,,1245066217007632384,https://twitter.com/Facebook/status/1245066217007632384
2020-03-25 19:57:21,Facebook,,89,31,78,An update on the work we're doing with health authorities to connect people with accurate information and limit the spread of misinformation on COVID-19: https://about.fb.com/news/2020/03/combating-covid-19-misinformation/,,,,1242903418789695488,https://twitter.com/Facebook/status/1242903418789695488
2020-03-19 23:12:41,Facebook,,50,54,87,"Watch Live: Dr. Anthony Fauci, the US's top infectious disease expert, talks to Mark Zuckerberg about what we can do to help fight the spread of the coronavirus (COVID-19):",,,,1240778249937891328,https://twitter.com/Facebook/status/1240778249937891328
2020-03-19 20:14:26,Facebook,,142,87,269,"At 4PM PT today Mark Zuckerberg will go live with Dr. Anthony Fauci, @NIAIDNews director, to discuss the measures we can all take to fight the spread of coronavirus (COVID-19) and take questions from the audience. Tune in at http://facebook.com/zuck",,@NIAIDNews,,1240733391441367040,https://twitter.com/Facebook/status/1240733391441367040
2020-03-18 19:14:11,Facebook,,151,124,253,"Today we're launching the Coronavirus (COVID-19) Information Center, a place for people to get the latest updates from health authorities and find resources for staying healthy. https://about.fb.com/news/2020/03/coronavirus/#coronavirus-info-center",,,,1240355839648530432,https://twitter.com/Facebook/status/1240355839648530432
2020-03-13 16:08:45,Facebook,,106,54,181,You can stay updated on our efforts to respond to the outbreak here: https://about.fb.com/news/2020/03/coronavirus/,,,,1238497233214947329,https://twitter.com/Facebook/status/1238497233214947329
2020-03-13 16:08:44,Facebook,,260,238,610,Today the @unfoundation and @WHO launched a COVID-19 Solidarity Response Fund to support the response to the outbreak around the world. We're matching up to $10 million in donations and will match another $10M for @CDCgov in the coming weeks. Details ,,@unfoundation @WHO @CDCgov,,1238497232237686785,https://twitter.com/Facebook/status/1238497232237686785
