date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-11 18:00:11,Google,,4,62,320,We’ve collected dozens of new resources to help you and your communities stay informed and connected. Available at http://google.com/covid19: Financial relief and recovery information Teaching and learning from home Mental health and wellbeing And more,,,,1259906161500999685,https://twitter.com/Google/status/1259906161500999685
2020-05-11 17:14:48,Google,,5,34,152,"As more people are seeking “inner peace,"" it’s no surprise that searches asking “how to calm down” are at an all-time high. Here are a few ways to help you cope during COVID-19 → http://goo.gle/3du4Z6a",,,,1259894738481709057,https://twitter.com/Google/status/1259894738481709057
2020-05-08 15:00:00,Google,,124,428,1016,5 ways to help cope with stress during COVID-19: PAUSE. Breathe. Notice how you feel TAKE BREAKS from COVID-19 content MAKE TIME to sleep &amp; exercise REACH OUT &amp; stay connected SEEK HELP if overwhelmed or unsafe *General public health information*,,,,1258773655246561280,https://twitter.com/Google/status/1258773655246561280
2020-05-07 16:20:25,Google,,6,19,111,"4/ For the latest, most accurate information about COVID-19, always visit authoritative websites directly. Find more tips about staying safe online → http://g.co/covidsecuritytips",,,,1258431503731765248,https://twitter.com/Google/status/1258431503731765248
2020-05-07 16:11:09,Google,,21,121,449,"1/ With the rise in COVID-19 online scams we’re sharing tips in this thread and at http://g.co/covidsecuritytips to help you stay safe online. First things first, always use a strong, unique password to protect the security of all your accounts. #WorldPasswordDay",,,#WorldPasswordDay,1258429171354734597,https://twitter.com/Google/status/1258429171354734597
2020-05-04 18:40:35,Google,,3,15,112,"Love is the answer. That’s right, heart emojis were searched 10x more than the mask emoji this month. Find out what other emoji comes close → http://goo.gle/2YBiVHl",,,,1257379612889354243,https://twitter.com/Google/status/1257379612889354243
2020-04-28 16:11:11,Google,,14,32,283,"Jahmal Cole uses these 15 simple words as the base of all @mbmhmc efforts, including recent outreach for coronavirus. Get inspired → http://goo.gle/3cUc8fT",,@mbmhmc,,1255167688432812038,https://twitter.com/Google/status/1255167688432812038
2020-04-27 18:09:51,Google,,5,17,89,“Quarantine snacks” became the top trending snack search around the world over the past 90 days as more people stay inside and diversify their pantry portfolios → http://goo.gle/3cTjekQ ,,,,1254835162677940224,https://twitter.com/Google/status/1254835162677940224
2020-04-22 19:20:46,Google,,34,113,487,We’re working to identify and protect you against new COVID-19 security vulnerabilities. Learn tips to stay more secure online.,,,,1253041072365801475,https://twitter.com/Google/status/1253041072365801475
2020-04-20 16:23:55,Google,,9,19,112,Searches for “clapping” have hit an all-time high as people around the world clap to support essential workers on the front lines of COVID-19. Searches for “clap because we care” and “clap for key workers” were the top “clap” searches last week → http://goo.gle/2VNG7iu,,,,1252271790669418496,https://twitter.com/Google/status/1252271790669418496
2020-04-17 19:59:48,Google,,38,74,504,Googler and fifth-generation San Franciscan Sarah Torney recreated photos her great-grandfather took after the 1906 earthquake (she followed social distancing guidelines of course). Some things have clearly changed → http://goo.gle/3bjAKy6 ,,,,1251238956089446400,https://twitter.com/Google/status/1251238956089446400
2020-04-17 17:00:00,Google,,16,81,425,"To all of those on the front lines in the fight against #COVID19, thank you. Where there's help, there's hope. http://g.co/thankyouhelpers",,,#COVID19,1251193708659249154,https://twitter.com/Google/status/1251193708659249154
2020-04-14 17:28:35,Google,,31,88,441,"As people try to understand the impact of coronavirus, @GoogleNewsInit is helping to provide local newsrooms with up-to-date data visualizations. http://goo.gle/34zfhyR ",,@GoogleNewsInit,,1250113737622781952,https://twitter.com/Google/status/1250113737622781952
2020-04-13 14:14:25,Google,,8,60,295,"Thinking about creating a DIY mask? Searches for “How to make a mask with fabric” have gone up 4,550% → http://goo.gle/2yaGMCr",,,,1249702486388203521,https://twitter.com/Google/status/1249702486388203521
2020-04-09 15:37:50,Google,,24,114,505,COVID-19 news updates are coming at a rapid pace. We’ve organized the latest local and global coverage from authoritative sources in one place → http://goo.gle/3e06z0N,,,,1248273924531654657,https://twitter.com/Google/status/1248273924531654657
2020-04-07 13:08:51,Google,,52,234,903,"This year, #WorldHealthDay recognizes the tireless contributions of nurses and midwives everywhere. Help show your gratitude to all healthcare workers by staying home and staying safe. Find more helpful resources → http://google.com/covid19 #StayHomeSaveLives",,,#WorldHealthDay #StayHomeSaveLives,1247511659125637120,https://twitter.com/Google/status/1247511659125637120
2020-04-03 14:04:15,Google,,107,222,903,"Stay home. Save lives. As COVID-19 continues to impact communities around the world, help stop the spread by following these steps → http://goo.gle/344kn5X #GoogleDoodle",,,#GoogleDoodle,1246076049668128768,https://twitter.com/Google/status/1246076049668128768
2020-04-02 19:18:59,Google,,125,172,661,"Reliable information is more important than ever during the COVID-19 crisis. To help, we’re collecting COVID-19 education, prevention and local resources → http://google.com/covid19",,,,1245792866917474304,https://twitter.com/Google/status/1245792866917474304
2020-03-30 14:05:12,Google,,242,521,1377,"More than ever before, people are searching how to help doctors, nurses, and healthcare professionals. They’re working around the clock to help us, stay inside to help them. Learn more → http://google.com/covid19 #StayHomeSaveLives",,,#StayHomeSaveLives,1244626737264287745,https://twitter.com/Google/status/1244626737264287745
2020-03-26 13:18:58,Google,,55,223,690,"When your house becomes your office, you need to learn a whole new routine. Google’s productivity advisor shares 9 tips on how to adjust to the “work from home” life.",,,,1243165548827066369,https://twitter.com/Google/status/1243165548827066369
2020-03-24 16:29:41,Google,,33,156,625,"With the spread of COVID-19, travel advisories and airline policies are continually being updated. Now you can quickly find the latest COVID-19 travel-related information on Google →",,,,1242488767526690821,https://twitter.com/Google/status/1242488767526690821
2020-03-20 14:16:35,Google,,48,360,1173,"Today's @GoogleDoodles honors Hungarian physician Dr. Ignaz Semmelweis, widely attributed as the first person to discover that handwashing is one of the most effective ways to prevent the spread of diseases. http://goo.gle/2IOToBh",,@GoogleDoodles,,1241005722437025792,https://twitter.com/Google/status/1241005722437025792
2020-03-19 12:05:50,Google,,36,247,810,"""Resist the urge to wake up and start working in bed."" If you’re still getting used to the work from home life, these 9 tips from Google’s productivity advisor might help →",,,,1240610428855685120,https://twitter.com/Google/status/1240610428855685120
2020-03-14 18:22:59,Google,,818,10484,20459,Do these five simple things to help stop coronavirus (COVID-19). DO THE FIVE HANDS: Wash them often ELBOW: Cough into it FACE: Don’t touch it FEET: Stay more than 3ft (1m) apart FEEL: Sick? Stay home *General public health information*,,,,1238893403821113344,https://twitter.com/Google/status/1238893403821113344
2020-03-11 19:53:34,Google,,36,70,525,"When Yul Kwon's friend Stacy was diagnosed with ALS, he turned to tech to help give her a sense of autonomy and connection to her family. Learn more about this Googler's efforts to raise awareness about the disease →",,,,1237829035511742464,https://twitter.com/Google/status/1237829035511742464
2020-02-11 16:09:22,Google,,31,190,787,It’s #SaferInternetDay—a good reminder for parents and kids to learn how to be safer online. These resources can help → http://goo.gle/38iyAgB #BeInternetAwesome,,,#SaferInternetDay #BeInternetAwesome,1227263363920482305,https://twitter.com/Google/status/1227263363920482305
