date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-06 16:15:15,Oracle,,0,20,34,Drones and #datascience can help farmers detect pests and disease more efficiently. AgroScout explains how on the latest episode of our Stories From the #Cloud podcast. http://oracl.info/LsEq50zyGb2 #agritech,,,#datascience #Cloud #agritech,1258067816068104192,https://twitter.com/Oracle/status/1258067816068104192
2020-04-22 20:00:52,Oracle,,0,3,14,We can all use a little more comfort food these days! Swedish fast-food restaurant Sibylla made it safer for their customers by quickly adding online ordering and contact-free pick up. http://oracl.info/lBKK50zkIB4 @OracleFoodBev,,@OracleFoodBev,,1253051162221215744,https://twitter.com/Oracle/status/1253051162221215744
2020-04-22 16:01:53,Oracle,,1,13,33,"Our Chief Sustainability Officer, Jon Chorley, offers these ways to commemorate #EarthDay while practicing social distancing. http://oracl.info/hFXU50zlsqM",,,#EarthDay #EarthDay,1252991022512123905,https://twitter.com/Oracle/status/1252991022512123905
2020-04-20 20:00:32,Oracle,,0,10,23,"From sewing masks to designating special hours for at-risk shoppers, the retail community has stepped-up to ensure we can shop safely and keep our households stocked with the necessities. http://oracl.info/Mlwb50zj8sh @OracleRetail",,@OracleRetail,,1252326303061196803,https://twitter.com/Oracle/status/1252326303061196803
2020-04-17 22:00:12,Oracle,,0,11,14,Here are a few tips for welcoming new employees during a #WFH environment. http://oracl.info/hso050zhAGi #HR,,,#WFH #HR,1251269256525873152,https://twitter.com/Oracle/status/1251269256525873152
2020-04-07 22:24:35,Oracle,,1,14,42,Every second counts. Here’s how we’re working with @nvidia to accelerate researchers’ understanding of the COVID-19 virus. http://oracl.info/zz5550z8b0J #OCI,,@nvidia,#OCI,1247651512634855425,https://twitter.com/Oracle/status/1247651512634855425
2020-04-07 20:10:53,Oracle,,2,12,33,What is your #wfh setup like? Our own @GregJensen10 offers some suggestions on how to make it all work. http://oracl.info/HbXa50z85xb,,@GregJensen10,#wfh,1247617864309395457,https://twitter.com/Oracle/status/1247617864309395457
2020-04-02 20:03:37,Oracle,,3,49,94,We partnered with @HACERA_INC and others to start a blockchain platform to help with data aggregation and analytics for COVID-19. http://oracl.info/CKN850z3Jrx #blockchain #data @LedgerInsights,,@HACERA_INC @LedgerInsights,#blockchain #data,1245804098777161728,https://twitter.com/Oracle/status/1245804098777161728
2020-03-31 21:33:52,Oracle,,0,10,20,Make the transition to a successful remote workplace with these tips from @markclynd. http://oracl.info/35WY50z1vlS #WFH #workingremotely #workingfromhometips,,@markclynd,#WFH #workingremotely #workingfromhometips,1245102034166087680,https://twitter.com/Oracle/status/1245102034166087680
2020-03-16 15:00:26,Oracle,,19,166,274,"As we all continue to navigate the uncertainty of COVID-19, our customers, employees, and partners remain our priority. Learn how we’re supporting businesses by providing continuity of service at all times. http://oracl.info/VJ1650yMP93",,,,1239567203508408324,https://twitter.com/Oracle/status/1239567203508408324
2020-02-18 21:00:23,Oracle,,2,13,13,"We can’t always predict the actions of an intelligent system, but we can still strive for safer #AI. Learn what Unpredictability of AI is and what it means for AI safety: http://oracl.info/DyQE50ypG4P",,,#AI,1229873317294878721,https://twitter.com/Oracle/status/1229873317294878721
2020-01-07 19:20:06,Oracle,,1,4,10,"Join the #OracleACS informative #webcast on Tuesday, January 21 at 8:00 a.m.–8:45 a.m. PST, and hear about the proven proactive methodology used to help @Oracle E-Business Suite customers perform their upgrade to Oracle Database 19c safely &amp; efficiently. http://oracl.info/345w50xPlrj",,@Oracle,#OracleACS #webcast,1214627791087513601,https://twitter.com/Oracle/status/1214627791087513601
