date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-06 19:40:26,Qualcomm,,2,11,33,#DidYouKnow — cars are learning to perceive the world much the way humans do. Learn what it takes for cars to safely navigate the world:,,,#DidYouKnow,1258119449028235264,https://twitter.com/Qualcomm/status/1258119449028235264
2020-04-30 22:28:14,Qualcomm,,0,7,45,"On @CNBC’s Squawk Alley, CEO Steve Mollenkopf shared insights into our Q2 earnings, how we’re remaining productive, our #5G progress, and what the future looks like beyond COVID-19. Learn more:",,@CNBC,#5G,1255987351106527232,https://twitter.com/Qualcomm/status/1255987351106527232
2020-04-27 20:14:00,Qualcomm,,1,9,37,"In the face of a pandemic, the need for connectivity is stronger than ever. Hear from President @CristianoAmon about how we’re rising to the challenge of supporting mission-critical infrastructure across the globe with #5G:",,@cristianoamon,#5G,1254866408388747269,https://twitter.com/Qualcomm/status/1254866408388747269
2020-04-24 17:36:50,Qualcomm,,0,11,29,"For @wef, President @cristianoamon wrote about mission-critical connectivity and how #5G will both support and unlock inventive ways for humanity to respond to the new frontier of work, education, and healthcare brought on by Covid-19. Read it here:",,@wef @cristianoamon,#5G,1253739691574247427,https://twitter.com/Qualcomm/status/1253739691574247427
2020-04-15 17:44:39,Qualcomm,,3,17,63,"In these difficult times, we’re looking at all the ways we can help make a difference. Here’s how we’re responding to #COVID19 as a company and community — we’re #InThisTogether.",,,#COVID19 #InThisTogether,1250480170017882121,https://twitter.com/Qualcomm/status/1250480170017882121
2020-04-10 18:39:09,Qualcomm,,5,30,145,"On most days, we’re using our 3D printers to create prototypes for our internal design projects. Now we’re putting them to even better use — printing key parts of face shields for the incredibly brave professionals working at our local hospitals. #InThisTogether #Covid19",,,#InThisTogether #Covid19,1248681942293323776,https://twitter.com/Qualcomm/status/1248681942293323776
2020-04-08 22:21:58,Qualcomm,,0,7,25,".@QualcommVenture is among the investors helping raise over $50M in funding for @TytoCare, a telehealth company that’s expanding its remote exam and diagnosis offerings globally to help with the Covid-19 crisis. Learn more:",,@QualcommVenture @TytoCare,,1248013242510671873,https://twitter.com/Qualcomm/status/1248013242510671873
2020-04-02 17:59:35,Qualcomm,,0,5,32,"On @bloombergtv, CEO @SteveMollenkopf shared that our main priority is the safety of our employees, and that as a company, we’re operating from a position of strength in the face of Covid-19. Watch the interview here:",,@BloombergTV @stevemollenkopf,,1245772884183834626,https://twitter.com/Qualcomm/status/1245772884183834626
2020-02-20 21:11:15,Qualcomm,,0,7,35,Cars are learning to see and safely navigate the world. Learn how our R&D is making that possible:,,,,1230600826894376984,https://twitter.com/Qualcomm/status/1230600826894376984
2020-01-28 16:31:08,Qualcomm,,1,35,164,Qualcomm will donate RMB 7 million (US $1m) to relief agencies in China in support of efforts to combat the impact of the Coronavirus. Our thoughts go out to all those affected.,,,,1222195411978465281,https://twitter.com/Qualcomm/status/1222195411978465281
