date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-10 15:07:33,amazon,,6,10,52,"We’ll start by sharing stories of Amazon moms who are serving their community right now. Maria is a single mother of five who makes sure associates are healthy and safe, and orders are packed correctly. This weekend, she’s enjoying a BBQ with her kids. #HappyMothersDay Maria!",,,#HappyMothersDay #HappyMothersDay,1259500330078756866,https://twitter.com/amazon/status/1259500330078756866
2020-05-08 16:33:58,amazon,,71,67,186,"Free, single-use masks are now available at Whole Foods Market nationwide for shoppers who do not have a face covering. We’re requesting customers wear a mask to increase protection for our people and our communities. Everyone’s safety first. https://amzn.to/2YLHQIc",,,,1258797301394550789,https://twitter.com/amazon/status/1258797301394550789
2020-05-01 20:19:51,amazon,,339,70,420,"Caring for customers and our people isn't just talk. We've invested approximately $4 billion on COVID-related initiatives to get products to customers, and keep our people and community safe.",,,,1256317432676839425,https://twitter.com/amazon/status/1256317432676839425
2020-05-01 12:58:51,amazon,,112,28,168,"We look at all angles when it comes to safety, making sure we are adapting and improving measures constantly. For more safety info, visit our blog: https://amzn.to/3f2hPu9",,,,1256206448037711873,https://twitter.com/amazon/status/1256206448037711873
2020-04-29 12:59:07,amazon,,143,41,201,"Millions of masks, gloves, and cleaning supplies add up to one thing: Safety. Our people’s health comes first, and we’ve been working around the clock to get them what they need to stay safe. For more safety info, visit our blog: https://amzn.to/3f0e9sB",,,,1255481739520151554,https://twitter.com/amazon/status/1255481739520151554
2020-04-27 21:59:43,amazon,,50,23,116, Thanking health workers Reading with family Finding happy music Here are a few fun ways people are using @alexa99 during COVID-19 to stay connected and entertained:,,@alexa99,,1254893011789627393,https://twitter.com/amazon/status/1254893011789627393
2020-04-14 18:59:34,amazon,,233,39,181,"We’re continuing to closely monitor the impact of COVID-19. @AmazonNews has daily updates about the actions we’re taking to support our people, customers and the community during this pandemic.",,@amazonnews,,1250136634819043329,https://twitter.com/amazon/status/1250136634819043329
2020-04-14 15:59:07,amazon,,106,66,341,"COVID-19 is our biggest challenge yet. From flying masks around the world to rolling out daily temp checks, we’ll continue rising to the challenge of keeping our team safe. https://amzn.to/34AURVX",,,,1250091221294493697,https://twitter.com/amazon/status/1250091221294493697
2020-04-10 18:59:10,amazon,,229,102,563,"Nothing is more important than keeping our people safe and healthy, and we're doing everything to protect them. To everyone who makes staying home possible, thank you. https://amzn.to/2xjArVl",,,,1248686979665051660,https://twitter.com/amazon/status/1248686979665051660
2020-04-02 20:13:37,amazon,,177,31,132,"We are committed to making Alexa and Amazon devices more helpful and informative during these hard times, whether it’s helping you connect with family and friends, stream free content, learn about social distancing, or more all while staying at home.",,,,1245806614457843712,https://twitter.com/amazon/status/1245806614457843712
2020-03-20 23:45:53,amazon,,557,94,361,"We’re all in this together. Just like you, we’re closely monitoring the impact of COVID-19. Here are the ways we’re supporting customers, employees, and communities during this difficult time: https://amzn.to/2xYsPrp",,,,1241148992504856579,https://twitter.com/amazon/status/1241148992504856579
2020-03-16 17:36:00,amazon,,500,207,496,We believe our role serving customers and the community during this time is an important one. Here is a roundup of how we’re addressing COVID-19 and supporting those directly and indirectly impacted.,,,,1239606354215686144,https://twitter.com/amazon/status/1239606354215686144
