date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-08 09:00:50,panasonic,,0,0,6,A Symmetrically Designed Cylindrical #OralIrrigator Perfect for Sanitary Spaces. A look into how we designed and added new value to the product with the aim of providing a solution to #PeriodontalDisease. https://bit.ly/2A1O0tt #HealthyMouth #OralCare #WaterFlosser #DentalCare,,,#OralIrrigator #PeriodontalDisease #HealthyMouth #OralCare #WaterFlosser #DentalCare,1258683265273286656,https://twitter.com/panasonic/status/1258683265273286656
2020-04-24 06:00:20,panasonic,,1,1,9,"Panasonic @TOUGHBOOK fully-rugged convertible notebook has been deployed across @TeckResources's Greenhills Operations in support of safety, environmental performance and productivity. https://bit.ly/2KvneMa #TimeToDoMore #MobileDevices #WorkplaceEfficiency @PanasonicCanada",,@TOUGHBOOK @TeckResources @PanasonicCanada,#TimeToDoMore #MobileDevices #WorkplaceEfficiency,1253564413711392768,https://twitter.com/panasonic/status/1253564413711392768
2020-04-22 09:59:04,panasonic,,0,1,5,Did you know Panasonic's huge ventilation fans are just like airliner's engines? See how our #ventilation system is essential for keeping a safe tunnel environment https://bit.ly/2Koivfl Watch the video: https://bit.ly/2Vskg1j #PassengerSafety #CarEmissions #EarthDay @hex_info,,@hex_info,#ventilation #PassengerSafety #CarEmissions #EarthDay #EarthDay,1252899714908987393,https://twitter.com/panasonic/status/1252899714908987393
2020-04-22 03:28:25,panasonic,,0,2,10,Panasonic to Help Alleviate Supply Shortages Caused by the Spread of COVID-19. Learn more about how we help reduce shortages of critical supplies in the fight against the coronavirus pandemic.,,,,1252801405351493634,https://twitter.com/panasonic/status/1252801405351493634
2020-02-03 03:00:04,panasonic,,0,4,12,Panasonic presented a range of #RoboticTechnologies striving to enrich society and individuals. Learn more: http://bit.ly/2RLzoVD #InternationalRobotExhibition #Autonomous #LiDAR #BatteryManagement #SafetyDesign,,,#RoboticTechnologies #InternationalRobotExhibition #Autonomous #LiDAR #BatteryManagement #SafetyDesign,1224165627054690305,https://twitter.com/panasonic/status/1224165627054690305
2020-01-27 10:33:51,panasonic,,2,10,14,"Panasonic China: In tackling the new #coronavirus epidemic and aiding Wuhan, we contributed 1 million RMB of materials through the Chinese Red Cross Foundation. Learn more(Chinese page): http://bit.ly/37wF8rR",,,#coronavirus,1221743112625803264,https://twitter.com/panasonic/status/1221743112625803264
2020-01-23 11:23:43,panasonic,,1,4,12,A stadium where everyone can watch matches in peace: #FacialRecognition Solution http://bit.ly/30N5H9r Watch more about how #Panasonic helps to provide a safer environment for #FootballFans. #PublicSafety #SecuritySolution #Monitoring #FacePRO @Panasonic_iPRO @BrondbyIF,,@Panasonic_iPRO @BrondbyIF,#FacialRecognition #Panasonic #FootballFans #PublicSafety #SecuritySolution #Monitoring #FacePRO,1220306109052796929,https://twitter.com/panasonic/status/1220306109052796929
2020-01-10 19:01:10,panasonic,,0,5,8,"At #CES2020, we're introducing the platforms improving safety and #mobility by #connecting relevant data like traffic info in real-time. See how we reinvent the passenger experience. More info: http://bit.ly/2QE00ar #PanasonicCES #IoT #Inflight #Transportation @saradietschy",,@saradietschy,#CES2020 #mobility #connecting #PanasonicCES #IoT #Inflight #Transportation,1215710190810562560,https://twitter.com/panasonic/status/1215710190810562560
2020-01-10 17:57:35,panasonic,,0,3,15,"CIRRUS by Panasonic® communicates with cars and infrastructure, aiming for #Roadsafety and #CongestionReduction. Watch how the #RemoteMonitoring system functions. More info: http://bit.ly/2N96jAz #PanasonicCES #CES2020 #TrafficControl #ConnectedVehicle #SmartCity @theunlockr",,@theunlockr,#Roadsafety #CongestionReduction #RemoteMonitoring #PanasonicCES #CES2020 #TrafficControl #ConnectedVehicle #SmartCity,1215694187481354246,https://twitter.com/panasonic/status/1215694187481354246
2020-01-10 01:29:21,panasonic,,0,3,11,CIRRUS by Panasonic® is a #ConnectedVehicle #DataPlatform that can improve safety and #Mobility on the road by #SharingData. For more info: http://bit.ly/2N96jAz #PanasonicCES #CES2020 #SmartMobility #V2X #Transportation @theunlockr,,@theunlockr,#ConnectedVehicle #DataPlatform #Mobility #SharingData #PanasonicCES #CES2020 #SmartMobility #V2X #Transportation,1215445490776428544,https://twitter.com/panasonic/status/1215445490776428544
