date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-05 17:00:50,IBM,,18,162,454,"Happening now at #Think2020 – IBM Executive Chairman Ginni Rometty discusses Open P-TECH, the future of education and the digital workforce in the post COVID-19 era with @iamwill, Founder and CEO, I.AM+: https://ibm.co/3c9aQNV",,@iamwill,#Think2020,1257716898562785282,https://twitter.com/IBM/status/1257716898562785282
2020-05-05 13:00:08,IBM,,10,255,316,#Think2020 is now streaming. Let's get thinking Join our digital event to gain the critical insights you need to adapt and recover from the impacts of COVID-19: https://ibm.co/2YNcrFF,,,#Think2020,1257656323623223296,https://twitter.com/IBM/status/1257656323623223296
2020-04-22 14:27:32,IBM,,1,51,91,"This #EarthDay, join us in taking action. From climate change to the fight against COVID-19, our #CallforCode Global Challenge focuses on building solutions for some of the world’s most pressing problems. Learn more: https://ibm.co/34WuH05",,,#EarthDay #EarthDay #CallforCode,1252967276950835201,https://twitter.com/IBM/status/1252967276950835201
2020-04-18 16:00:17,IBM,,2,70,168,Tune in today to One World: #TogetherAtHome We're proud to join @GlblCtzn in the fight to end the #COVID19 crisis: https://ibm.co/3cwPMkv,,@GlblCtzn,#TogetherAtHome #COVID19,1251541068107128833,https://twitter.com/IBM/status/1251541068107128833
2020-04-17 16:42:05,IBM,,2,71,138,"Tune in tomorrow to One World: #TogetherAtHome. Along with the help of some of the biggest names in music, television, and more, we’ll be taking action to fight #COVID19. Learn more: https://ibm.co/2VkzG7T",,,#TogetherAtHome #COVID19,1251189197857329155,https://twitter.com/IBM/status/1251189197857329155
2020-04-15 20:22:19,IBM,,6,120,226,We're proud to join @glblctzn to help address the current #COVID19 crisis. One World: #TogetherAtHome is a one-night special event on April 18 featuring leading global health experts and performances by artists and comedians. Find out how to tune in: http://glblctzn.me/OneWorldTAH,,@GlblCtzn,#COVID19 #TogetherAtHome,1250519846594523139,https://twitter.com/IBM/status/1250519846594523139
2020-04-10 15:48:41,IBM,,14,150,281,We are partnering with @glblctzn for One World: #TogetherAtHome — a night of music and action to celebrate the heroic efforts of healthcare workers and support the @WHO in the global fight to end COVID-19. Take action with us now: https://glblctzn.me/34aQLUB,,@GlblCtzn @WHO,#TogetherAtHome,1248639044482936837,https://twitter.com/IBM/status/1248639044482936837
2020-04-08 13:58:11,IBM,,6,76,179,"In times like these, it’s more important than ever to come together. IBM is proud to join the #StayHome initiative to encourage everyone to stay home if you can to help slow the spread of COVID-19. Together we can save lives. #AloneTogether",,,#StayHome #StayHome #AloneTogether #AloneTogether,1247886458825801731,https://twitter.com/IBM/status/1247886458825801731
2020-04-02 17:03:12,IBM,,3,101,141,Our Watson Assistant for Citizens delivers fast & accurate answers to #COVID19 questions. Learn more: https://ibm.co/3aGoQhI,,,#COVID19,1245758695683895296,https://twitter.com/IBM/status/1245758695683895296
2020-03-31 19:07:37,IBM,,10,117,274,"In a joint effort with the White House Office of Science and Technology Policy and the U.S. Department of Energy, IBM will help bring supercomputers into the global fight against #COVID19: https://ibm.co/3ate0vf",,,#COVID19,1245065227944833024,https://twitter.com/IBM/status/1245065227944833024
2020-03-30 16:50:30,IBM,,1,139,209,IBM is offering access to evidence-based insights to help clinicians and individuals. Learn more about Micromedex and DynaMed #COVID19 Resource Catalog: https://ibm.co/2WSbydE,,,#COVID19,1244668334425112578,https://twitter.com/IBM/status/1244668334425112578
2020-03-27 18:04:46,IBM,,6,88,190,We believe technology has the power to help solve some of the world's most pressing problems. Here's how we are aiding in the fight against #COVID19,,,#COVID19,1243599859824943105,https://twitter.com/IBM/status/1243599859824943105
