date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-07 18:15:01,wwt_inc,,0,1,3,"As #healthcare shifts to operate during the global pandemic, it's clear that the impact will have lasting effects on the industry. So, where do we go from here? http://ms.spr.ly/6017T930Z",,,#healthcare,1258460341673099268,https://twitter.com/wwt_inc/status/1258460341673099268
2020-05-07 15:28:00,wwt_inc,,1,0,0,""" I am so proud to see our front line workers embrace the protocols we've put in place to keep everyone safe.""",,,,1258418313295736836,https://twitter.com/wwt_inc/status/1258418313295736836
2020-05-07 15:25:15,wwt_inc,,1,0,1,"""We are all doing an incredible job as an organization, working together to drive the continuity of the business, the productivity of the business, and making sure that all our employees stay employed and stay safe.""",,,,1258417619851411457,https://twitter.com/wwt_inc/status/1258417619851411457
2020-05-07 15:09:57,wwt_inc,,2,0,2,"""The number one priority is the safety and wellbeing of our employees and their families.""- @jimpkavanaugh",,@jimpkavanaugh,,1258413769069400064,https://twitter.com/wwt_inc/status/1258413769069400064
2020-05-07 15:06:26,wwt_inc,,1,2,3,"""This is a marathon, not a sprint,"" says @jimpkavanaugh as he ensures that WWT will make sure employees are as safe as possible and employed.",,@jimpkavanaugh,,1258412885245603840,https://twitter.com/wwt_inc/status/1258412885245603840
2020-05-06 19:49:49,wwt_inc,,1,2,4,Discover how we can help you keep your employees safe while still delivering critical services: http://ms.spr.ly/6018T9MEG,,,,1258121810907971585,https://twitter.com/wwt_inc/status/1258121810907971585
2020-05-01 14:34:01,wwt_inc,,0,5,5,"It's time for part three of our Business Continuity Talk Series: Four Waves of IT's Response to COVID-19. In this video, WWT experts discuss crisis response, technology challenges, and solutions. Watch here: http://ms.spr.ly/6010TgviY",,,,1256230399346425856,https://twitter.com/wwt_inc/status/1256230399346425856
2020-04-30 18:50:01,wwt_inc,,0,1,2,#Healthcare organizations urgently need safe ways to connect with and provide treatment for their patients. Learn how WWT implemented solutions for #telehealth within days for these organizations: http://ms.spr.ly/6012Tgt1E,,,#Healthcare #telehealth,1255932434912366593,https://twitter.com/wwt_inc/status/1255932434912366593
2020-04-21 16:00:25,wwt_inc,,1,12,37,"""Our number one priority is and will always be the safety and well-being of our employees."" @jimpkavanaugh, WWT CEO and Co-Founder.",,@jimpkavanaugh,,1252628263870115842,https://twitter.com/wwt_inc/status/1252628263870115842
2020-04-21 15:21:11,wwt_inc,,1,0,1,"""Thank you for embracing change and embracing these protocols we are putting in place for the safety and well being of our employees."" @jimpkavanaugh",,@jimpkavanaugh,,1252618392202285056,https://twitter.com/wwt_inc/status/1252618392202285056
2020-04-21 15:16:50,wwt_inc,,1,1,5,"“Our People, Culture and Leadership will get us through this,” says @jimpkavanaugh as he reinforces that the health and safety of employees is WWT‘s top priority.",,@jimpkavanaugh,,1252617295421157382,https://twitter.com/wwt_inc/status/1252617295421157382
2020-04-17 13:55:06,wwt_inc,,1,2,13,Thank you @Mercy for hosting us safely for our not so average annual Spring Blood Drive! And a big #WorldWideThx to all our employees who participated. #DonateBlood,,@Mercy,#WorldWideThx #DonateBlood,1251147175469277184,https://twitter.com/wwt_inc/status/1251147175469277184
2020-04-16 15:00:01,wwt_inc,,0,1,1,"It’s critical that contact centers can enable agents to #workfromhome. But this requires considering these four key technology domains, so organizations can balance the needs of customers with the health and safety of home agents: http://ms.spr.ly/6014T5wGa #remotework",,,#workfromhome #remotework,1250801124409556992,https://twitter.com/wwt_inc/status/1250801124409556992
2020-04-08 23:17:01,wwt_inc,,0,2,8,Learn how to enable #healthcare workers to reach the broadest set of positive outcomes while keeping them safe in this case study: http://ms.spr.ly/6015Te2Cf,,,#healthcare,1248027095541915649,https://twitter.com/wwt_inc/status/1248027095541915649
